gutenberg.id,title,author,gutenberg.author.id,gutenberg.bookshelf,flesch.value,flesch.grade,level,average.goodreads.rating
17621,One Day More: A Play In One Act,"Conrad, Joseph",125,One Act Plays,90.41836266,5,A1,2.9
28554,Beyond Lies the Wub,"Dick, Philip K.",33399,Science Fiction,90.43119116,5,A1,3.81
28644,Beyond the Door,"Dick, Philip K.",33399,Science Fiction,93.40123534,5,A1,3.06
32032,Second Variety,"Dick, Philip K.",33399,Science Fiction,91.1752814,5,A1,3.96
41562,The Hanging Stranger,"Dick, Philip K.",33399,Science Fiction,91.91992121,5,A1,3.9
30255,The Skull,"Dick, Philip K.",33399,Science Fiction,90.92878815,5,A1,4.14
15492,A Doll's House,"Ibsen, Henrik",861,Best Books Ever Listings,91.35694956,5,A1,3.69
557,Puck of Pook's Hill,"Kipling, Rudyard",132,Children's Literature/Scouts,90.37543195,5,A1,3.89
20288,Edward the Second,"Marlowe, Christopher",410,Harvard Classics,92.46889239,5,A1,3.82
1794,King Lear,"Shakespeare, William",65,Best Books Ever Listings,93.83914474,5,A1,3.9
1533,Macbeth,"Shakespeare, William",65,Opera,90.88810691,5,A1,3.88
1122,"The Tragedy of Hamlet, Prince of Denmark","Shakespeare, William",65,Best Books Ever Listings,91.90295646,5,A1,4.25
1128,The Tragedy of King Lear,"Shakespeare, William",65,Best Books Ever Listings,93.8363222,5,A1,3.6
1112,The Tragedy of Romeo and Juliet,"Shakespeare, William",65,Italy,95.30671376,5,A1,4.43
2787,An Old-Fashioned Girl,"Alcott, Louisa May",102,Children's Literature,81.0844719,6,A2,4.05
163,Flower Fables,"Alcott, Louisa May",102,Children's Literature,81.89406103,6,A2,3.44
2788,Little Men,"Alcott, Louisa May",102,School Stories/Children's Literature,81.45962836,6,A2,3.84
5352,Marjorie's Three Gifts,"Alcott, Louisa May",102,Children's Literature,80.57345286,6,A2,3.59
8188,The Mysterious Key and What It Opened,"Alcott, Louisa May",102,Children's Literature,80.69240209,6,A2,3.49
3795,Under the Lilacs,"Alcott, Louisa May",102,Children's Literature,80.86826859,6,A2,3.72
1237,Father Goriot,"Balzac, Honoré de",251,Harvard Classics/Best Books Ever Listings,80.71123962,6,A2,3.79
7958,The Napoleon of the People,"Balzac, Honoré de",251,France,81.06818648,6,A2,3.33
16,Peter Pan,"Barrie, J. M. (James Matthew)",10,Movie Books/Children's Literature,85.90622508,6,A2,4.1
4357,American Fairy Tales,"Baum, L. Frank (Lyman Frank)",42,"Children's Myths, Fairy Tales, etc./Children's Literature",81.61972777,6,A2,3.63
25519,Little Wizard Stories of Oz,"Baum, L. Frank (Lyman Frank)",42,Children's Literature,81.52680584,6,A2,3.77
22225,Mary Louise in the Country,"Baum, L. Frank (Lyman Frank)",42,Children's Book Series/Children's Literature,81.895564,6,A2,3.45
5312,Mother Goose in Prose,"Baum, L. Frank (Lyman Frank)",42,Children's Literature/Children's Picture Books,82.56419092,6,A2,3.7
486,Ozma of Oz,"Baum, L. Frank (Lyman Frank)",42,Fantasy/Children's Literature,81.98284637,6,A2,3.96
520,The Life and Adventures of Santa Claus,"Baum, L. Frank (Lyman Frank)",42,Children's Literature/Christmas,80.49646903,6,A2,3.89
419,The Magic of Oz,"Baum, L. Frank (Lyman Frank)",42,Children's Literature/Fantasy,82.18750988,6,A2,3.94
